№;Название;Описание;Цена;Описание к цене;Изображение;Дополнительное изображение
54;Scindapsus Pictus sp.1;Форма роста лиана. Темп роста быстрый. Листья почти сидячие (черешок не превышает 2-3 см), пластинка кожистая, яйцевидная, более округлая, чем у  "Argyraeus", сверху темно-зеленая с серебряным узором, который занимает большую поверхность листа.;49; укоренённый черенок;scind_pictus_sp1.jpg;
55;Syngonium Albolineatum;Форма роста лиана/куст.Крупный сингониум с листьями до 25-30 см общей длины, копьевидными, ярко-зелёными с жёлтыми полосами по прожилкам.Чем ярче освещение, тем больше прожилок будут расцвечены жёлтым. ;45; укоренённый черенок;syng_albol.jpg;
56;Syngonium Angustatum;новинка! Форма роста лиана/куст.Темп роста ниже среднего.  Очень декоративный видовой сингониум с серебристыми пятными на рассечённых листьях. Редкий сорт!;150; укоренённый черенок;syng_anustatum.jpg;
57;Syngonium Aom Manee;Форма роста куртина. Довольно быстрый темп роста. Яркие листья интересной формы и довольно крупный размер листовых пластин - сорт просто не возможно обойти вниманием!;50; укоренённый черенок;syng_aom_manee.jpg;
58;Syngonium Aom Phet;Форма роста лиана/куст. Темп роста средний. Листья стреловидные, насыщенного изумрудно цвета, бархатистые. По центру широкая серебристо-белая полоса.Растение следует беречь от прямых солнечных лучей.;40; укоренённый черенок;syng_aom_phet.jpg;
59;Syngonium Aron Brown;Форма роста лиана/куст. Темп роста быстрый. Листовые пластины красно-шоколадные. С возрастом не меняют окраску. Междоузлия короткие, вследствие чего, сингониум образует компактные и густые заросли.;55; укоренённый черенок;syng_aron_b.jpg;
60;Syngonium Auritum;Форма роста лиана/куст.Темп роста быстрый. Габаритная лиана с тёмно-зелёными листьями, которые с возрастом приобретают "ушки". Теневыносливый сорт.;45;временно нет;syng_auritum.jpg;
61;Syngonium Butterfly Allusion;Форма роста лиана/куст.Такое название связано с тем, что молодые листья растений имеют,яркую окраску и сильно отличаются от старых. У этого сингониума молодые листья ланцетные, блестящие, песочно-зелёного цвета с ярко выраженными розовыми жилками. От яркости освещения зависит сочность окраски, особенно молодых листьев.;35; укоренённый черенок;syng_but_allus.jpg;
62;Syngonium Christmas;Форма роста лиана/куст. Темп роста средний. Цвет листьев бургундия-бронза с брызгами кремово-белого цвета. Светолюбивый сорт.;100; укоренённый черенок;syng_christmas.jpg;
63;Syngonium Confetti;Форма роста лиана/куст.Темп роста средний. Имеет великолепный розовый крап на зелёных листьях,а так же примечателен тем, что меняет форму листьев с возрастом - у молодых растений они стреловидные, а у более старых листья с четко выраженными долями и напоминают звезду не правильной формы, у которой вытянут один из лучей.;150; укоренённый черенок;syng_confetti.jpg;
64;Syngonium Cream Supreme;Форма роста лиана/куст. Темп роста быстрый. Листовые пластины пастельного, кремово-зелёного оттенка. Довольно крупный сингониум.;40; укоренённый черенок;syng_cream_supreme.jpg;
65;Syngonium Dang Rasamee Tong;Форма роста лиана/куст.Средний темп роста. Довольно крупный сингониум. Листья беловато-кремовые  с розовыми прожилками;65; укоренённый черенок;syng_dang_rasamee_tong.jpg;
66;Syngonium Erythrophyllum;Форма роста лиана/куст.Темп роста быстрый. Лочеь интересный сорт, имеющий нетипичный для сингониумов вид. Листья около 7см, стреловидные и блестящие, медно-зеленого цвета.Обратная сторона листа фиолетово-бордовая. Теневынослив;60; укоренённый черенок;sing_erythrop.jpg;
67;Syngonium Freckles;новинка! Форма роста лиана/куст.Темп роста ниже среднего. Редкий сорт.;-;временно нет;syng_frecles.jpg;
68;Syngonium Godzilla;новинка! Форма роста лиана/куст. Темп роста ниже среднего. Очень оригинальный сорт.Листовые пластины некрупные, свёрнуты относительно центральной жиилки в своеобразный "кокон". Окраска листьев насышенно-зелёная с частыми серебристо-белыми разводами.;150;укоренённый черенок в два узла;syng_godzilla.jpg;
69;Syngonium Golden Venation;новинка! Форма роста лиана/куст. Темп роста средний. Новинка селекции! Довольно крупные листовые пластины, покрыты узором из частых золотисто-жёлтых прожилок. Нуждается в ярком рассеяном свете.;150; укоренённый черенок;syng_ golden_venation.jpg;
70;Syngonium Hibrid;новинка! Форма роста куст/лиана. Темп роста средний. Крупное растение. Листья ярко-зелёные, фактурые, края волнистые.;-;временно нет;syng_hibrid.jpg;
71;Syngonium Imperial White;Форма роста лиана/куст. Темп роста средний. Растение в целом неприхотливо.Лист темно зеленый с чисто белым. Желательно яркое освещение.;40; укоренённый черенок;syng_imp_white.jpg;
72;Syngonium Lime Green;Форма роста лиана/куст.Темп роста средний. Светлые, кремово-белые листья, округлые волнистые с салатовой каёмкой.;65; укоренённый черенок;syng_lime_green.jpg;
73;Syngonium Macrophyllum;Форма роста лиана/куст. Темп роста быстрый. Внешне очень напоминает филодендрон. Довольно крупная  лиана с простыми округлыми глянцевыми темно-зелеными листьями сверху и светло-зелеными снизу. Размер листа в домашних условиях может достигнуть 20 и более сантиметров.;-;временно нет;syng_macrophyllum.jpg;
74;Syngonium Macrophyllum "Frosted Heart";новинка! Форма роста лиана/куст. Отличается от зелёной формы более медленным темпом роста. На листовых пластинах присутствуют салато-жёлтые разводы.;200;укоренённый черенок с одним листом;syng_macrophyllum_var.jpg;
75;Syngonium Mango Allusion;Форма роста лиана/куст.Темп роста быстрый. Имеет очень широкие сморщенные листья в форме сердца богатые розовато-бронзовые с мерцающим персиковым оттенком и светло-сиреневыми жилками.;35; укоренённый черенок;syng_mango_allus.jpg;
76;Syngonium Neon Tethra;Форма роста лиана/куст. Темп роста средний. Листья крупные, насыщенного цвета. Основание листовой пластины имеет зелёные вкрапления.;150; укоренённый черенок;syng_neon_tethra.jpg;
77;Syngonium Panda;Форма роста лиана/куст. Темп роста средний. Листовые пластины около 10см. Ярко-зелёные с частыми, контрастными пяьнами кремово-жёлтого цвета. В зависимости от освещение колдичество крапа варьируется. Растение следует оберегать от прямых солнечных лучей;120; укоренённый черенок;syng_panda.jpg;
78;Syngonium Pink Flecked;новинка! Форма роста лиана/куст.Темп роста ниже среднего. Редкий сорт.;-;временно нет;syng_pink_flecked.jpg;
79;Syngonium Pink Spot;Форма роста лиана/куст.Темп роста выше среднего. Молодые листовые пластины кремово-розовые с малиново-розовым крапом. Очень декоратвный сорт. С возрастом листья светлеют.нуждается в притенении;120; укоренённый черенок;syng_pinc_spot.jpg;
80;Syngonium Plum Allusion;Форма роста лиана/куст. Темп роста быстрый. Как у всех сингониумов серии Allusion. Молодые листья отличаются от старых. Молодые листья свинцово-коричневые, старые коричнево-зелёные.;35; укоренённый черенок;syng_plum_allus.jpg;
81;Syngonium Podophyllum Mottled Arrowhead;новинка! Форма роста лиана/куст.Темп роста ниже среднего. Редкий сорт. Листовые пластины вытянутые. Сильно гафрированные. Покрыты частымии белыми и кремово-салатовыми разводами. Нуждается в ярком рассеянном освещении.;250; укоренённый черенок;syng_mottled.jpg;
82;Syngonium Ratsemee Naq;Форма роста лиана/куст.;70; укоренённый черенок;syng_ratsemee_nag.jpg;
83;Syngonium Red Spot;Форма роста лиана/куст. Темп роста быстрый. Листовые пластины около 10 см,зелёные с частыми красными и тёмно-розовыми пятнами. Количество и интенсивность окраса пятен зависит от освещения. С возрастом листья меняют форму. Нуждается в ярком рассеяном свете.;70; укоренённый черенок;syng_red_spot.jpg;
84;Syngonium Regina Red;Форма роста лиана/куст.;40; укоренённый черенок;syng_regina_red.jpg;
85;Syngonium Three Kings;Форма роста лиана/куст.;70; укоренённый черенок;syng_three_k.jpg;
86;Syngonium Tiffani;Форма роста куртина. Темп роста выше среднего. Мелколистный сорт. Листья около 4 см, имеют расходящиеся от центра красно-коричневые и тёмно-зелёные пятна. Нуждается в ярком рассенянном свете.;50; укоренённый черенок;syng_tiffani.jpg;
87;Syngonium Wendlandii "Scrambled Eggs";новинка! Форма роста лиана/куст. Темп роста ниже среднего. Листья некрупные, около 7 см, изумрудно-зелёные, бархатистые,с салатово-желтыми контрастными пятнами. Количество крапа завсисит от интенсивности освещеия.;-; укоренённый черенок;syng_eggs.jpg;
88;Syngonium  Pink Splash Allusion;новинка! Форма роста лиана/куст. Темп роста средний. Листья изумрудно-зелёные, широкие, с яркими красо-розовыми пятнами.Редкий сорт!;250; укоренённый черенок;syng_pink_splash_allusion.jpg;
89;Syngonium  Т-24;новинка! Форма роста лиана/куст. Темп роста ниже среднего. Новинка селекции!;-;временно нет;syng_t24.jpg;
