№;Название;Описание;Цена;Описание к цене;Изображение;Дополнительное изображение
;Hoya Caudata big and green leaves(шёлковый лст);Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 10см, лист жёсткий, поверхность шёлковая.  Молодой прирост окрашен в бронзовый. Нуждается в притенении. На ярком солнце листья бледнеют. Полив умеренный.;85;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;caudata_big_and_green.jpg;caudata_big_and_green.jpg
;Hoya Caudata "Gold orange flowers";Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 12см, лист тёмно-зелёный, жёсткий, поверхность шёлковая, покрыт яркими серебряными брызгами. Нуждается в притенении. Полив умереный.;-;временно нет;caudata_gold.jpg;caudata_gold.jpg
;Hoya Caudata Silver;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 15см, лист практически полностью залит серебром. Нуждается в притенении. Полив умереный.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;caudata_silver.jpg;caudata_silver.jpg
;Hoya Caudata splash;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 12см, лист тёмно-зелёный, жёсткий, часто покрыт серебряными брызгами. Нуждается в притенении. Полив умереный.;120;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;caudata_splash.jpg;caudata_splash.jpg
;Hoya Caudata tn99-008;Форма роста лиана. Самая мелколистная из всех caudata. Листья практически круглые, с заострённым кончиком. Полив с некоторой просушкой грунта, рассеянный свет. Подходит новичку!;-;временно нет;caudata_tn99_008.jpg;caudata_tn99_008.jpg
;Hoya Chewianum (sp. SR-40);новинка! Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Не любит пересушки, хорошо отзывается на частые опрыскивания. Освещение без прямых солнечных лучей. Охотно и обильно цветёт.;350;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;chewianum.jpg;chewianum.jpg
;Hoya Chlorantha;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья тонкие, травянистые. Цветы яблочно-зелёного цвета, собраны в зонтики по 8-10штук. Не терпит пересушку. Хорошо растёт на западных окнах.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;chlorantha.jpg;chlorantha.jpg
;Hoya Chlorantha var. Tutuilensis;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья тонкие, травянистые, молодые бордовые. Цветы с фиолетовато-бордовыми разводами, собраны в зонтики по 8-10штук. Не терпит пересушку. Хорошо растёт на западных окнах.;60;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;chlorantha_tutuilensis.jpg;chlorantha_tutuilensis.jpg
;Hoya Chuniana;Форма роста лиана. Растение нуждается в опоре. Листья около 8-10см.Темп роста выше среднего. Нуждается в притенении, предпочитает повышенную влажность. Цветение продолжается 3-4 дня, цветы приятно пахнут.;-;временно нет;chuniana.jpg;chuniana.jpg
;Hoya Cinommamifolia;Форма роста лиана. Растение нуждается в опоре. Темп роста нже среднего. Листья кожистые, с ярко выраженным жилкованием. Цветочный зонтик содержит 20-40 цветков. Цветы около 2х см, очень контрастные. Цветение длится около 5дней. Между поливами грун должен просыхать.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;cinnomamifolia.jpg;cinnomamifolia.jpg
;Hoya Citrina splash;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 10см, покрыты серебряным крапом. Цветы  белые, с жёлты центром, собраны в зонтик по 20-30 штук. Имеют приятный запах.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;citrina_splash.jpg;citrina_splash.jpg
;Hoya Clemensiorum;Форма роста лиана. Растение нуждается в опоре. Темп роста ниже среднего. Листья крупные, жёсткие, с чётким жилкованием. ;200;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;clemensiorum.jpg;clemensiorum.jpg
;Hoya Clemensiorum Long Leaves;Форма роста лиана. Растение нуждается в опоре. Темп роста ниже среднего. Лстья очень жёсткие, около 20см. Жилкование ярко выраженое, фактурное.;300;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;clemensiorum_l_l.jpg;clemensiorum.jpg
;Hoya Coriacea;Форма роста лиана. Растение нуждается в опоре. Темп роста выше среднего. Листья около 15см, кожистые.Цветы светло-жёлтые, сильно опушеные, собраны в зонтике по 35-75 штук. Подходит новичку.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;coriacea.jpg;coriacea.jpg
;Hoya Coronaria;;-;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;coronaria.jpg;coronaria.jpg
;Hoya Cumingiana;Форма роста куст/лиана. Растение нуждается в опоре. Темп роста быстрый. Лист мелкий. Цветы собраны по 10 штук, ароматные, пахнут лимоном.;60;Цена указана за укоренённый черенок в три узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;cumingiana.jpg;cumingiana.jpg
;Hoya Curtisii;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья мелкие около 1.5см, суккулентные, серо-зелёные, покрыты крупным крапом. Цветы собраны в зонтик по 10-25 штук. Весны-осень полив обльный. Зимой содержание в прохладе.;60;Цена указана за укоренённый черенок в три узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;curtisii.jpg;curtisii.jpg
;Hoya Curtisii Silver;Форма роста лиана. Растение нуждается в опоре. Темп роста средний. Листья мелкие около 1.5см, суккулентные,полностью серебряные. Цветы собраны в зонтик по 10-25 штук. Весны-осень полив обльный. Зимой содержание в прохладе.;100;Цена указана за укоренённый черенок в 3узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;curtisii_silver.jpg;curtisii_silver.jpg
;Hoya Darwinii pink flowers ;;-;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;darwinii_pink.jpg;darwinii_pink.jpg
;Hoya Davidcummingii;Форма роста лиана. Растение нуждается в опоре.;40;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;davidcummingii.jpg;davidcummingii.jpg
;Hoya Dennisii;Форма роста лиана. Растение нуждается в опоре.;65;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;dennisii.jpg;dennisii.jpg
;Hoya Densifolia;Форма роста куст/лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 4см. Цветы собраны по 10 штук, ароматные, пахнут лимоном.;60;временно нет;densifolia.jpg;densifolia.jpg
;Hoya Desvoeuxensis (H. Megalantha Pink);новинка!;-;временно нет;desvoeuxensis.jpg;desvoeuxensis.jpg
;Hoya Deykeae;Форма роста лиана. Растение нуждается в опоре.;80;временно нет;deykeae.jpg;deykeae.jpg
;Hoya Deykeae Splash;Форма роста лиана. Растение нуждается в опоре.;220;временно нет;deykeae_splash.jpg;deykeae.jpg
;Hoya Diptera splash;Форма роста лиана. Растение нуждается в опоре.;45;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;diptera_splash.jpg;diptera.jpg
;Hoya Diversifolia Blume;Форма роста лиана. Растение нуждается в опоре.;30;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;diversifolia_blume.jpg;diversifolia_blume.jpg
;Hoya Eliptica splash;Форма роста лиана. Растение нуждается в опоре.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;elliptica_splash.jpg;elliptica_splash.jpg
;Hoya Endauensis;Форма роста лиана. Растение нуждается в опоре.;80;Цена указана за укоренённый черенок в два узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;enduaensis.jpg;enduaensis.jpg
;Hoya Erythrina;Форма роста лиана. Растение нуждается в опоре.;70;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;erythrina.jpg;erythrina.jpg
;Hoya Erythrina "Cameron Island";Форма роста лиана. Растение нуждается в опоре.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;erythrina_cameron_island.jpg;erythrina_cameron_island.jpg
;Hoya Erythrostemma pink;Форма роста лиана. Растение нуждается в опоре.;50;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;erythrostemma.jpg;erythrostemma_p.jpg
;Hoya Erythrostemma white;Форма роста лиана. Растение нуждается в опоре.;50;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;erythrostemma.jpg;erythrostemma_w.jpg
;Hoya Excavata;Форма роста лиана. Растение нуждается в опоре.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;excavata.jpg;excavata.jpg
;Hoya Finlaysonii;Форма роста лиана. Растение нуждается в опоре.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii.jpg;finlaysonii.jpg
;Hoya Finlaysonii (Burma) sp. 298;;-;временно нет;finlaysonii_sp_298.jpg;finlaysonii.jpg
;Hoya Finlaysonii big dark leaves  ;Форма роста лиана. Растение нуждается в опоре. Темп роста средний.;-;временно нет;finlaysonii_big_dark_leaves.jpg;finlaysonii.jpg
;Hoya Finlaysonii EPC-317;Форма роста лиана. Растение нуждается в опоре.;250;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_epc_317.jpg;finlaysonii_epc_317.jpg
;Hoya Finlaysonii EPC-318;Форма роста лиана. Растение нуждается в опоре.;-;временно нет;finlaysonii_epc318.jpg;finlaysonii.jpg
;Hoya Finlaysonii EPC-59;;-;временно нет;finlaysonii_epc_59.jpg;finlaysonii.jpg
;Hoya Finlaysonii "Nova";Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_nova.jpg;finlaysonii.jpg
;Hoya Finlaysonii splash & long leaf;Форма роста лиана. Растение нуждается в опоре.;-;временно нет;finlaysonii_splash_long_leaf.jpg;finlaysonii.jpg
;Hoya Finlaysonii splash EPC-143;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_splash.jpg;finlaysonii_splash.jpg
;Hoya Finlaysonii Trang splash;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_t_s.jpg;finlaysonii_splash.jpg
;Hoya Finlaysonii very large ovate leaves EPC-774;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;finlaysonii_ovale.jpg;finlaysonii.jpg
;Hoya Fitchii;Форма роста лиана. Растение нуждается в опоре. Темп роста быстрый. Листья около 5-6 см, с ярко выраженными более светлыми жилками. Цветы собраны в довольно крупный зонтик, жёлто-коралловые, имеют приятный аромат.;-;временно нет;fitchii.jpg;fitchii.jpg
;Hoya Flagellata;Форма роста лиана. Растение нуждается в опоре.;50;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;flagellata.jpg;flagellata.jpg
;Hoya Flavida;Форма роста лиана. Растение нуждается в опоре.;50;Цена указана за укоренённый черенок в три узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;flavida.jpg;flavida.jpg
;Hoya Forbesii splash;Форма роста лиана. Растение нуждается в опоре.;-;временное нет;forbesii_splash.jpg;forbesii.jpg
;Hoya Fraterna;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;fraterna.jpg;fraterna.jpg
;Hoya Fuscomarginata Splash;Форма роста лиана. Растение нуждается в опоре.;120;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;fuscomarginata_splash.jpg;fuscomarginata.jpg
;Hoya Glabra;Форма роста лиана. Растение нуждается в опоре.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;glabra.jpg;glabra.jpg
;Hoya Globiflora;Форма роста лиана. Растение нуждается в опоре.;90;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;globiflora.jpg;globiflora.jpg
;Hoya Globulosa;Форма роста лиана. Растение нуждается в опоре.;75;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;globulosa.jpg;globulosa.jpg
;Hoya Gracilis;Форма роста лиана. Растение нуждается в опоре.;45;Цена указана за укоренённый черенок в три узла. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;gracilis.jpg;gracilis.jpg
;Hoya Graveolens;Форма роста лиана. Растение нуждается в опоре.;50;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;graveolens.jpg;graveolens.jpg
;Hoya Green Apple;Форма роста лиана. Растение нуждается в опоре.;80;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;green_apple.jpg;green_apple.jpg
;Hoya Griffithii;Форма роста лиана. Растение нуждается в опоре.;150;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;griffithii.jpg;griffithii.jpg
;Hoya Heuschkeliana variegated;Форма роста ампель/лиана. Растение нуждается в опоре. Листья сочные, немного кожистые, овально-эллиптические, тонкие 3- 5 мм толщиной, длиной до 4 см и шириной до 3 см, имеют жёлто кремовый центр с темно-зеленым кантом по краю и видимыми жилками.Освещение: нуждается в светлом (но без прямого солнца) месте, где она обычно цветет очень обильно, иногда с каждого листового узла. ;350;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;heuschkeliana_var.jpg;heuschkeliana.jpg
;Hoya Heuschkenliana pink;Форма роста ампель/лиана. Темп роста выше среднего.Листья сочные, немного кожистые, овально-эллиптические, тонкие 3- 5 мм толщиной, длиной до 4 см и шириной до 3 см. Освещение: нуждается в светлом (но без прямого солнца) месте, где она обычно цветет очень обильно, иногда с каждого листового узла. ;-;временно нет;heuschkeliana.jpg;heuschkeliana_pink.jpg
;Hoya Heuschkenliana yellow;Форма роста ампель/лиана. Темп роста выше среднего.Листья сочные, немного кожистые, овально-эллиптические, тонкие 3- 5 мм толщиной, длиной до 4 см и шириной до 3 см. Освещение: нуждается в светлом (но без прямого солнца) месте, где она обычно цветет очень обильно, иногда с каждого листового узла. ;-;временно нет;heuschkeliana.jpg;heuschkeliana_yellow.jpg
;Hoya Hypolasia;Форма роста лиана. Растение нуждается в опоре.;100;Цена указана за один укоренённый узел. Возможно приобретение сорта в виде свежесрезанного черенка. Цену на срезку уточняйте ;hypolasia.jpg;hypolasia.jpg
;Hoya Ignorata splash;;-;временно нет; ignorata_splash.jpg; ignorata.jpg
